2025-02-22 17:15:49,766 | root | INFO | step: 0, train_loss: 0.1816
2025-02-22 17:16:07,458 | root | INFO | step: 100, train_loss: 0.1607
2025-02-22 17:16:25,400 | root | INFO | step: 200, train_loss: 0.1206
2025-02-22 17:16:43,621 | root | INFO | step: 300, train_loss: 0.1132
2025-02-22 17:17:02,065 | root | INFO | step: 400, train_loss: 0.1407
2025-02-22 17:17:20,669 | root | INFO | step: 500, train_loss: 0.1042
2025-02-22 17:17:39,404 | root | INFO | step: 600, train_loss: 0.0880
2025-02-22 17:17:58,220 | root | INFO | step: 700, train_loss: 0.0582
2025-02-22 17:18:17,128 | root | INFO | step: 800, train_loss: 0.0620
2025-02-22 17:18:36,167 | root | INFO | step: 900, train_loss: 0.0352
2025-02-22 17:18:55,263 | root | INFO | step: 1000, train_loss: 0.0779
2025-02-22 17:19:14,403 | root | INFO | step: 1100, train_loss: 0.0562
2025-02-22 17:19:33,562 | root | INFO | step: 1200, train_loss: 0.0432
2025-02-22 17:19:52,750 | root | INFO | step: 1300, train_loss: 0.0501
2025-02-22 17:20:11,959 | root | INFO | step: 1400, train_loss: 0.0345
2025-02-22 17:20:31,181 | root | INFO | step: 1500, train_loss: 0.0929
2025-02-22 17:20:50,428 | root | INFO | step: 1600, train_loss: 0.0282
2025-02-22 17:21:09,691 | root | INFO | step: 1700, train_loss: 0.0451
2025-02-22 17:21:28,965 | root | INFO | step: 1800, train_loss: 0.0674
2025-02-22 17:21:48,245 | root | INFO | step: 1900, train_loss: 0.1567
2025-02-22 17:22:07,535 | root | INFO | step: 2000, train_loss: 0.0627
2025-02-22 17:22:26,825 | root | INFO | step: 2100, train_loss: 0.1310
2025-02-22 17:22:46,122 | root | INFO | step: 2200, train_loss: 0.0738
2025-02-22 17:23:05,416 | root | INFO | step: 2300, train_loss: 0.0883
2025-02-22 17:23:24,712 | root | INFO | step: 2400, train_loss: 0.0184
2025-02-22 17:23:44,026 | root | INFO | step: 2500, train_loss: 0.1132
2025-02-22 17:24:08,616 | root | INFO | valid_loss: 0.2232, valid_acc: 0.9104
2025-02-22 17:24:14,443 | root | INFO | step: 0, train_loss: 0.0535
2025-02-22 17:24:33,648 | root | INFO | step: 100, train_loss: 0.0673
2025-02-22 17:24:52,902 | root | INFO | step: 200, train_loss: 0.0247
2025-02-22 17:25:12,168 | root | INFO | step: 300, train_loss: 0.0203
2025-02-22 17:25:31,456 | root | INFO | step: 400, train_loss: 0.0817
2025-02-22 17:25:50,790 | root | INFO | step: 500, train_loss: 0.0145
2025-02-22 17:26:10,146 | root | INFO | step: 600, train_loss: 0.0466
2025-02-22 17:26:29,512 | root | INFO | step: 700, train_loss: 0.1240
2025-02-22 17:26:48,881 | root | INFO | step: 800, train_loss: 0.0581
2025-02-22 17:27:08,253 | root | INFO | step: 900, train_loss: 0.0203
2025-02-22 17:27:27,624 | root | INFO | step: 1000, train_loss: 0.0218
2025-02-22 17:27:46,994 | root | INFO | step: 1100, train_loss: 0.1218
2025-02-22 17:28:06,364 | root | INFO | step: 1200, train_loss: 0.0320
2025-02-22 17:28:25,731 | root | INFO | step: 1300, train_loss: 0.0289
2025-02-22 17:28:45,111 | root | INFO | step: 1400, train_loss: 0.0507
2025-02-22 17:29:04,499 | root | INFO | step: 1500, train_loss: 0.0851
2025-02-22 17:29:23,878 | root | INFO | step: 1600, train_loss: 0.0775
2025-02-22 17:29:43,260 | root | INFO | step: 1700, train_loss: 0.0319
2025-02-22 17:30:02,641 | root | INFO | step: 1800, train_loss: 0.0345
2025-02-22 17:30:22,015 | root | INFO | step: 1900, train_loss: 0.1079
2025-02-22 17:30:41,391 | root | INFO | step: 2000, train_loss: 0.0468
2025-02-22 17:31:00,767 | root | INFO | step: 2100, train_loss: 0.0826
2025-02-22 17:31:20,145 | root | INFO | step: 2200, train_loss: 0.0563
2025-02-22 17:31:39,519 | root | INFO | step: 2300, train_loss: 0.0629
2025-02-22 17:31:58,883 | root | INFO | step: 2400, train_loss: 0.0772
2025-02-22 17:32:18,248 | root | INFO | step: 2500, train_loss: 0.0690
2025-02-22 17:32:42,834 | root | INFO | valid_loss: 0.1604, valid_acc: 0.9391
2025-02-22 17:32:48,579 | root | INFO | step: 0, train_loss: 0.0747
2025-02-22 17:33:07,758 | root | INFO | step: 100, train_loss: 0.0153
2025-02-22 17:33:26,982 | root | INFO | step: 200, train_loss: 0.0160
2025-02-22 17:33:46,231 | root | INFO | step: 300, train_loss: 0.0183
2025-02-22 17:34:05,543 | root | INFO | step: 400, train_loss: 0.0213
2025-02-22 17:34:24,911 | root | INFO | step: 500, train_loss: 0.0126
2025-02-22 17:34:44,294 | root | INFO | step: 600, train_loss: 0.0067
2025-02-22 17:35:03,677 | root | INFO | step: 700, train_loss: 0.0232
2025-02-22 17:35:23,062 | root | INFO | step: 800, train_loss: 0.0365
2025-02-22 17:35:42,450 | root | INFO | step: 900, train_loss: 0.0050
2025-02-22 17:36:01,837 | root | INFO | step: 1000, train_loss: 0.0179
2025-02-22 17:36:21,225 | root | INFO | step: 1100, train_loss: 0.0017
2025-02-22 17:36:40,616 | root | INFO | step: 1200, train_loss: 0.0314
2025-02-22 17:37:00,013 | root | INFO | step: 1300, train_loss: 0.0234
2025-02-22 17:37:19,401 | root | INFO | step: 1400, train_loss: 0.0240
2025-02-22 17:37:38,788 | root | INFO | step: 1500, train_loss: 0.0077
2025-02-22 17:37:58,163 | root | INFO | step: 1600, train_loss: 0.0153
2025-02-22 17:38:17,544 | root | INFO | step: 1700, train_loss: 0.0320
2025-02-22 17:38:36,919 | root | INFO | step: 1800, train_loss: 0.0278
2025-02-22 17:38:56,288 | root | INFO | step: 1900, train_loss: 0.0422
2025-02-22 17:39:15,652 | root | INFO | step: 2000, train_loss: 0.0063
2025-02-22 17:39:35,023 | root | INFO | step: 2100, train_loss: 0.0250
2025-02-22 17:39:54,408 | root | INFO | step: 2200, train_loss: 0.0065
2025-02-22 17:40:13,785 | root | INFO | step: 2300, train_loss: 0.0064
2025-02-22 17:40:33,164 | root | INFO | step: 2400, train_loss: 0.0303
2025-02-22 17:40:52,546 | root | INFO | step: 2500, train_loss: 0.0648
2025-02-22 17:41:17,159 | root | INFO | valid_loss: 0.1026, valid_acc: 0.9660
2025-02-22 17:41:23,455 | root | INFO | step: 0, train_loss: 0.0260
2025-02-22 17:41:42,630 | root | INFO | step: 100, train_loss: 0.0204
2025-02-22 17:42:01,864 | root | INFO | step: 200, train_loss: 0.0004
2025-02-22 17:42:21,116 | root | INFO | step: 300, train_loss: 0.0057
2025-02-22 17:42:40,450 | root | INFO | step: 400, train_loss: 0.0048
2025-02-22 17:42:59,830 | root | INFO | step: 500, train_loss: 0.0005
2025-02-22 17:43:19,210 | root | INFO | step: 600, train_loss: 0.0017
2025-02-22 17:43:38,597 | root | INFO | step: 700, train_loss: 0.0044
2025-02-22 17:43:58,002 | root | INFO | step: 800, train_loss: 0.0011
2025-02-22 17:44:17,404 | root | INFO | step: 900, train_loss: 0.0007
2025-02-22 17:44:36,811 | root | INFO | step: 1000, train_loss: 0.0024
2025-02-22 17:44:56,226 | root | INFO | step: 1100, train_loss: 0.0096
2025-02-22 17:45:15,636 | root | INFO | step: 1200, train_loss: 0.0039
2025-02-22 17:45:35,036 | root | INFO | step: 1300, train_loss: 0.0093
2025-02-22 17:45:54,427 | root | INFO | step: 1400, train_loss: 0.0006
2025-02-22 17:46:13,804 | root | INFO | step: 1500, train_loss: 0.0022
2025-02-22 17:46:33,184 | root | INFO | step: 1600, train_loss: 0.0317
2025-02-22 17:46:52,565 | root | INFO | step: 1700, train_loss: 0.0031
2025-02-22 17:47:11,947 | root | INFO | step: 1800, train_loss: 0.0433
2025-02-22 17:47:31,323 | root | INFO | step: 1900, train_loss: 0.0427
2025-02-22 17:47:50,699 | root | INFO | step: 2000, train_loss: 0.0051
2025-02-22 17:48:10,074 | root | INFO | step: 2100, train_loss: 0.0086
2025-02-22 17:48:29,439 | root | INFO | step: 2200, train_loss: 0.0086
2025-02-22 17:48:48,815 | root | INFO | step: 2300, train_loss: 0.0135
2025-02-22 17:49:08,191 | root | INFO | step: 2400, train_loss: 0.0026
2025-02-22 17:49:27,570 | root | INFO | step: 2500, train_loss: 0.0207
