2025-02-23 13:56:24,984 | root | INFO | step: 100, train_loss: 0.7185
2025-02-23 13:56:42,511 | root | INFO | step: 200, train_loss: 0.6839
2025-02-23 13:57:00,274 | root | INFO | step: 300, train_loss: 0.7070
2025-02-23 13:57:18,261 | root | INFO | step: 400, train_loss: 0.6678
2025-02-23 13:57:36,416 | root | INFO | step: 500, train_loss: 0.6511
2025-02-23 13:57:54,712 | root | INFO | step: 600, train_loss: 0.6453
2025-02-23 13:58:13,110 | root | INFO | step: 700, train_loss: 0.6365
2025-02-23 13:58:31,591 | root | INFO | step: 800, train_loss: 0.6104
2025-02-23 13:58:50,110 | root | INFO | step: 900, train_loss: 0.6366
2025-02-23 13:59:08,666 | root | INFO | step: 1000, train_loss: 0.6842
2025-02-23 13:59:27,323 | root | INFO | step: 1100, train_loss: 0.7158
2025-02-23 13:59:46,035 | root | INFO | step: 1200, train_loss: 0.5814
2025-02-23 14:00:04,779 | root | INFO | step: 1300, train_loss: 0.5866
2025-02-23 14:00:23,536 | root | INFO | step: 1400, train_loss: 0.6502
2025-02-23 14:00:42,335 | root | INFO | step: 1500, train_loss: 0.8945
2025-02-23 14:01:01,152 | root | INFO | step: 1600, train_loss: 0.4460
2025-02-23 14:01:19,961 | root | INFO | step: 1700, train_loss: 0.2543
2025-02-23 14:01:38,799 | root | INFO | step: 1800, train_loss: 0.4362
2025-02-23 14:01:57,625 | root | INFO | step: 1900, train_loss: 0.5242
2025-02-23 14:02:16,475 | root | INFO | step: 2000, train_loss: 0.6123
2025-02-23 14:02:35,318 | root | INFO | step: 2100, train_loss: 0.4464
2025-02-23 14:02:54,181 | root | INFO | step: 2200, train_loss: 0.4701
2025-02-23 14:03:13,028 | root | INFO | step: 2300, train_loss: 0.6620
2025-02-23 14:03:31,895 | root | INFO | step: 2400, train_loss: 0.3495
2025-02-23 14:03:50,767 | root | INFO | step: 2500, train_loss: 0.5241
2025-02-23 14:04:15,217 | root | INFO | valid_loss: 0.5039, valid_acc: 0.7604
2025-02-23 14:04:28,696 | root | INFO | step: 2600, train_loss: 0.4588
2025-02-23 14:04:47,563 | root | INFO | step: 2700, train_loss: 0.5782
2025-02-23 14:05:06,454 | root | INFO | step: 2800, train_loss: 0.5225
2025-02-23 14:05:25,335 | root | INFO | step: 2900, train_loss: 0.3688
2025-02-23 14:05:44,227 | root | INFO | step: 3000, train_loss: 0.5000
2025-02-23 14:06:03,107 | root | INFO | step: 3100, train_loss: 0.3434
2025-02-23 14:06:22,021 | root | INFO | step: 3200, train_loss: 0.2971
2025-02-23 14:06:40,935 | root | INFO | step: 3300, train_loss: 0.4942
2025-02-23 14:06:59,834 | root | INFO | step: 3400, train_loss: 0.3701
2025-02-23 14:07:18,749 | root | INFO | step: 3500, train_loss: 0.2278
2025-02-23 14:07:37,643 | root | INFO | step: 3600, train_loss: 0.3242
2025-02-23 14:07:56,559 | root | INFO | step: 3700, train_loss: 0.6510
2025-02-23 14:08:15,465 | root | INFO | step: 3800, train_loss: 0.3562
2025-02-23 14:08:34,384 | root | INFO | step: 3900, train_loss: 0.3889
2025-02-23 14:08:53,275 | root | INFO | step: 4000, train_loss: 0.5553
2025-02-23 14:09:12,185 | root | INFO | step: 4100, train_loss: 0.5469
2025-02-23 14:09:31,097 | root | INFO | step: 4200, train_loss: 0.4513
2025-02-23 14:09:49,993 | root | INFO | step: 4300, train_loss: 0.4004
2025-02-23 14:10:08,919 | root | INFO | step: 4400, train_loss: 0.3914
2025-02-23 14:10:27,835 | root | INFO | step: 4500, train_loss: 0.2177
2025-02-23 14:10:46,764 | root | INFO | step: 4600, train_loss: 0.1981
2025-02-23 14:11:05,673 | root | INFO | step: 4700, train_loss: 0.2986
2025-02-23 14:11:24,595 | root | INFO | step: 4800, train_loss: 0.3111
2025-02-23 14:11:43,525 | root | INFO | step: 4900, train_loss: 0.3022
2025-02-23 14:12:02,437 | root | INFO | step: 5000, train_loss: 0.2051
2025-02-23 14:12:32,991 | root | INFO | valid_loss: 0.3728, valid_acc: 0.8309
2025-02-23 14:12:40,448 | root | INFO | step: 5100, train_loss: 0.3461
2025-02-23 14:12:59,383 | root | INFO | step: 5200, train_loss: 0.3804
2025-02-23 14:13:18,298 | root | INFO | step: 5300, train_loss: 0.2745
2025-02-23 14:13:37,232 | root | INFO | step: 5400, train_loss: 0.1929
2025-02-23 14:13:56,147 | root | INFO | step: 5500, train_loss: 0.3681
2025-02-23 14:14:15,083 | root | INFO | step: 5600, train_loss: 0.4387
2025-02-23 14:14:33,999 | root | INFO | step: 5700, train_loss: 0.2199
2025-02-23 14:14:52,930 | root | INFO | step: 5800, train_loss: 0.2222
2025-02-23 14:15:11,866 | root | INFO | step: 5900, train_loss: 0.2788
2025-02-23 14:15:30,792 | root | INFO | step: 6000, train_loss: 0.4099
2025-02-23 14:15:49,732 | root | INFO | step: 6100, train_loss: 0.4616
2025-02-23 14:16:08,662 | root | INFO | step: 6200, train_loss: 0.4527
2025-02-23 14:16:27,596 | root | INFO | step: 6300, train_loss: 0.2407
2025-02-23 14:16:46,524 | root | INFO | step: 6400, train_loss: 0.2540
2025-02-23 14:17:05,470 | root | INFO | step: 6500, train_loss: 0.3742
2025-02-23 14:17:24,416 | root | INFO | step: 6600, train_loss: 0.3007
2025-02-23 14:17:43,330 | root | INFO | step: 6700, train_loss: 0.2256
2025-02-23 14:18:02,274 | root | INFO | step: 6800, train_loss: 0.4714
2025-02-23 14:18:21,202 | root | INFO | step: 6900, train_loss: 0.3859
2025-02-23 14:18:40,148 | root | INFO | step: 7000, train_loss: 0.3006
2025-02-23 14:18:59,073 | root | INFO | step: 7100, train_loss: 0.2303
2025-02-23 14:19:18,008 | root | INFO | step: 7200, train_loss: 0.1311
2025-02-23 14:19:36,924 | root | INFO | step: 7300, train_loss: 0.3380
2025-02-23 14:19:55,861 | root | INFO | step: 7400, train_loss: 0.2395
2025-02-23 14:20:14,793 | root | INFO | step: 7500, train_loss: 0.3715
2025-02-23 14:20:51,400 | root | INFO | valid_loss: 0.3074, valid_acc: 0.8613
2025-02-23 14:20:52,928 | root | INFO | step: 7600, train_loss: 0.2175
2025-02-23 14:21:11,940 | root | INFO | step: 7700, train_loss: 0.3724
2025-02-23 14:21:30,969 | root | INFO | step: 7800, train_loss: 0.3036
2025-02-23 14:21:49,981 | root | INFO | step: 7900, train_loss: 0.3754
2025-02-23 14:22:09,004 | root | INFO | step: 8000, train_loss: 0.0963
2025-02-23 14:22:28,013 | root | INFO | step: 8100, train_loss: 0.3862
2025-02-23 14:22:47,034 | root | INFO | step: 8200, train_loss: 0.2718
2025-02-23 14:23:06,055 | root | INFO | step: 8300, train_loss: 0.1797
2025-02-23 14:23:25,052 | root | INFO | step: 8400, train_loss: 0.4657
2025-02-23 14:23:44,069 | root | INFO | step: 8500, train_loss: 0.4979
2025-02-23 14:24:03,074 | root | INFO | step: 8600, train_loss: 0.2650
2025-02-23 14:24:22,094 | root | INFO | step: 8700, train_loss: 0.3483
2025-02-23 14:24:41,089 | root | INFO | step: 8800, train_loss: 0.1836
2025-02-23 14:25:00,107 | root | INFO | step: 8900, train_loss: 0.4194
2025-02-23 14:25:19,105 | root | INFO | step: 9000, train_loss: 0.2924
2025-02-23 14:25:38,123 | root | INFO | step: 9100, train_loss: 0.2110
2025-02-23 14:25:57,137 | root | INFO | step: 9200, train_loss: 0.2850
2025-02-23 14:26:16,149 | root | INFO | step: 9300, train_loss: 0.1324
2025-02-23 14:26:35,175 | root | INFO | step: 9400, train_loss: 0.2742
2025-02-23 14:26:54,177 | root | INFO | step: 9500, train_loss: 0.1264
2025-02-23 14:27:13,203 | root | INFO | step: 9600, train_loss: 0.4074
2025-02-23 14:27:32,220 | root | INFO | step: 9700, train_loss: 0.1840
2025-02-23 14:27:51,241 | root | INFO | step: 9800, train_loss: 0.2251
2025-02-23 14:28:10,275 | root | INFO | step: 9900, train_loss: 0.1033
2025-02-23 14:28:29,290 | root | INFO | step: 10000, train_loss: 0.2754
2025-02-23 14:28:48,318 | root | INFO | step: 10100, train_loss: 0.0972
2025-02-23 14:29:12,181 | root | INFO | valid_loss: 0.2611, valid_acc: 0.8884
2025-02-23 14:29:26,521 | root | INFO | step: 10200, train_loss: 0.4203
2025-02-23 14:29:45,534 | root | INFO | step: 10300, train_loss: 0.2023
2025-02-23 14:30:04,556 | root | INFO | step: 10400, train_loss: 0.3335
2025-02-23 14:30:23,569 | root | INFO | step: 10500, train_loss: 0.2166
2025-02-23 14:30:42,599 | root | INFO | step: 10600, train_loss: 0.3202
2025-02-23 14:31:01,611 | root | INFO | step: 10700, train_loss: 0.1275
2025-02-23 14:31:20,637 | root | INFO | step: 10800, train_loss: 0.1016
2025-02-23 14:31:39,671 | root | INFO | step: 10900, train_loss: 0.2152
2025-02-23 14:31:58,684 | root | INFO | step: 11000, train_loss: 0.0981
2025-02-23 14:32:17,713 | root | INFO | step: 11100, train_loss: 0.2430
2025-02-23 14:32:36,728 | root | INFO | step: 11200, train_loss: 0.3668
2025-02-23 14:32:55,764 | root | INFO | step: 11300, train_loss: 0.0556
2025-02-23 14:33:14,782 | root | INFO | step: 11400, train_loss: 0.0813
2025-02-23 14:33:33,818 | root | INFO | step: 11500, train_loss: 0.2324
2025-02-23 14:33:52,856 | root | INFO | step: 11600, train_loss: 0.2264
2025-02-23 14:34:11,866 | root | INFO | step: 11700, train_loss: 0.2956
2025-02-23 14:34:30,889 | root | INFO | step: 11800, train_loss: 0.1461
2025-02-23 14:34:49,903 | root | INFO | step: 11900, train_loss: 0.1895
2025-02-23 14:35:08,928 | root | INFO | step: 12000, train_loss: 0.0545
2025-02-23 14:35:27,935 | root | INFO | step: 12100, train_loss: 0.1727
2025-02-23 14:35:46,961 | root | INFO | step: 12200, train_loss: 0.2389
2025-02-23 14:36:05,975 | root | INFO | step: 12300, train_loss: 0.3966
2025-02-23 14:36:25,015 | root | INFO | step: 12400, train_loss: 0.3594
2025-02-23 14:36:44,045 | root | INFO | step: 12500, train_loss: 0.2183
2025-02-23 14:37:03,060 | root | INFO | step: 12600, train_loss: 0.2563
2025-02-23 14:37:33,013 | root | INFO | valid_loss: 0.2379, valid_acc: 0.9033
2025-02-23 14:37:54,924 | root | INFO | test_loss: 0.2408, test_acc: 0.8990
2025-02-23 14:37:54,924 | root | INFO | Total Time : 42.41141281525294 min
